Keyword,Currency,Avg. monthly searches,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jul 2019,Searches: Aug 2019,Searches: Sep 2019,Searches: Oct 2019,Searches: Nov 2019,Searches: Dec 2019,Searches: Jan 2020,Searches: Feb 2020,Searches: Mar 2020,Searches: Apr 2020,Searches: May 2020,Searches: Jun 2020,Concept: Service,Concept: Other Brands,Concept: Non-Brands,Concept: Others
commercial video production,USD,50,Medium,60,5.19,16.24,,,,,,50,30,50,90,50,70,70,50,50,50,50,50,commercial video production,,Non-Brands,
video marketing solutions,USD,10,High,69,7.85,24.6,,,,,,10,10,10,10,10,10,10,10,10,0,10,10,,,Non-Brands,
corporate videography,USD,20,High,67,6.05,16.67,,,,,,10,20,20,30,10,10,40,20,20,10,10,10,corporate video production,,Non-Brands,
audio visual production services,USD,10,Medium,33,,,,,,,,10,10,10,10,10,10,10,10,10,10,0,10,event video production,,Non-Brands,
music video price packages,USD,10,Medium,43,,,,,,,,10,10,20,20,20,10,20,10,10,10,10,10,music video production,,Non-Brands,
commercial video production services,USD,10,Unknown,,,,,,,,,10,0,0,10,0,10,10,10,10,10,0,0,commercial video production,,Non-Brands,
motion graphics explainer video,USD,10,Medium,46,6.4,20,,,,,,10,10,10,10,10,20,10,10,10,10,10,10,,,Non-Brands,motion graphics
product video service,USD,20,High,91,4.7,13.08,,,,,,10,10,10,30,20,20,20,20,20,20,30,20,,,Non-Brands,
branded video production,USD,20,Medium,45,6.36,11.52,,,,,,10,10,10,10,10,20,30,40,30,30,20,20,,,Non-Brands,
promotional video services,USD,10,Low,20,,,,,,,,10,10,10,0,10,0,10,10,10,10,10,10,promotional video production,,Non-Brands,
explainer video production house,USD,0,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,Non-Brands,
b2b video production,USD,10,High,97,,,,,,,,20,10,0,10,10,10,10,10,10,10,10,10,,,Non-Brands,
videography agency,USD,10,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,0,,,Non-Brands,
corporate film making,USD,10,Unknown,,,,,,,,,10,10,10,10,0,10,10,10,0,0,0,0,corporate video production,,Non-Brands,
corporate promotional video,USD,10,Low,0,,,,,,,,0,0,0,10,10,10,20,20,30,20,20,10,"corporate video production, promotional video production",,Non-Brands,
youtube video production services,USD,10,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,0,,youtube,,
